system:index,ID,Image_Datetime,mean,stdDev,sum,.geo
A2020213_0,1,2020-07-31 00:10:01,26.81286958048968,0.4870352940389021,9.410487506388846E7,"{""type"":""Polygon"",""coordinates"":[[[-44.167473772149144,-10.960595736213724],[-31.383673823417443,-10.960595736213724],[-31.383673823417443,-3.6458047855439477],[-44.167473772149144,-3.6458047855439477],[-44.167473772149144,-10.960595736213724]]]}"
A2020212_0,1,2020-07-30 00:55:00,26.918944580326535,0.3511851947166092,1.3001449636176561E8,"{""type"":""Polygon"",""coordinates"":[[[-44.167473772149144,-10.960595736213724],[-31.383673823417443,-10.960595736213724],[-31.383673823417443,-3.6458047855439477],[-44.167473772149144,-3.6458047855439477],[-44.167473772149144,-10.960595736213724]]]}"
A2020211_0,1,2020-07-29 00:20:00,26.466500065034232,0.4221995275738187,3.2350999519166347E7,"{""type"":""Polygon"",""coordinates"":[[[-44.167473772149144,-10.960595736213724],[-31.383673823417443,-10.960595736213724],[-31.383673823417443,-3.6458047855439477],[-44.167473772149144,-3.6458047855439477],[-44.167473772149144,-10.960595736213724]]]}"
A2020210_0,1,2020-07-28 01:00:01,26.85270311806179,0.3702613301865095,1.4391106536286044E8,"{""type"":""Polygon"",""coordinates"":[[[-44.167473772149144,-10.960595736213724],[-31.383673823417443,-10.960595736213724],[-31.383673823417443,-3.6458047855439477],[-44.167473772149144,-3.6458047855439477],[-44.167473772149144,-10.960595736213724]]]}"
A2020209_0,1,2020-07-27 00:30:00,26.783675058247894,0.34246983771319095,5.8406784597866274E7,"{""type"":""Polygon"",""coordinates"":[[[-44.167473772149144,-10.960595736213724],[-31.383673823417443,-10.960595736213724],[-31.383673823417443,-3.6458047855439477],[-44.167473772149144,-3.6458047855439477],[-44.167473772149144,-10.960595736213724]]]}"
A2020208_0,1,2020-07-26 00:00:00,26.738798791076395,0.41442194687311795,1.1075668038754687E8,"{""type"":""Polygon"",""coordinates"":[[[-44.167473772149144,-10.960595736213724],[-31.383673823417443,-10.960595736213724],[-31.383673823417443,-3.6458047855439477],[-44.167473772149144,-3.6458047855439477],[-44.167473772149144,-10.960595736213724]]]}"
A2020207_0,1,2020-07-25 00:40:01,26.7995332122905,0.4129444618187752,8.59756994704294E7,"{""type"":""Polygon"",""coordinates"":[[[-44.167473772149144,-10.960595736213724],[-31.383673823417443,-10.960595736213724],[-31.383673823417443,-3.6458047855439477],[-44.167473772149144,-3.6458047855439477],[-44.167473772149144,-10.960595736213724]]]}"
A2020206_0,1,2020-07-24 00:05:01,26.808712993219515,0.5898817103390258,1.0471160907236272E8,"{""type"":""Polygon"",""coordinates"":[[[-44.167473772149144,-10.960595736213724],[-31.383673823417443,-10.960595736213724],[-31.383673823417443,-3.6458047855439477],[-44.167473772149144,-3.6458047855439477],[-44.167473772149144,-10.960595736213724]]]}"
A2020205_0,1,2020-07-23 00:50:01,26.960484177997966,0.3179427115407251,1.3827566172264606E8,"{""type"":""Polygon"",""coordinates"":[[[-44.167473772149144,-10.960595736213724],[-31.383673823417443,-10.960595736213724],[-31.383673823417443,-3.6458047855439477],[-44.167473772149144,-3.6458047855439477],[-44.167473772149144,-10.960595736213724]]]}"
A2020204_0,1,2020-07-22 00:15:01,27.174576969263327,1.0454355283758854,4.992623790739401E7,"{""type"":""Polygon"",""coordinates"":[[[-44.167473772149144,-10.960595736213724],[-31.383673823417443,-10.960595736213724],[-31.383673823417443,-3.6458047855439477],[-44.167473772149144,-3.6458047855439477],[-44.167473772149144,-10.960595736213724]]]}"
A2020203_0,1,2020-07-21 01:00:01,27.17773089474212,0.31732246194679764,1.4479123244857624E8,"{""type"":""Polygon"",""coordinates"":[[[-44.167473772149144,-10.960595736213724],[-31.383673823417443,-10.960595736213724],[-31.383673823417443,-3.6458047855439477],[-44.167473772149144,-3.6458047855439477],[-44.167473772149144,-10.960595736213724]]]}"
A2020202_0,1,2020-07-20 00:25:01,26.938552588946205,0.5750746482912037,3.815154403476512E7,"{""type"":""Polygon"",""coordinates"":[[[-44.167473772149144,-10.960595736213724],[-31.383673823417443,-10.960595736213724],[-31.383673823417443,-3.6458047855439477],[-44.167473772149144,-3.6458047855439477],[-44.167473772149144,-10.960595736213724]]]}"
A2020201_0,1,2020-07-19 00:00:01,27.100904916673827,0.44740719881306273,9.91656773489874E7,"{""type"":""Polygon"",""coordinates"":[[[-44.167473772149144,-10.960595736213724],[-31.383673823417443,-10.960595736213724],[-31.383673823417443,-3.6458047855439477],[-44.167473772149144,-3.6458047855439477],[-44.167473772149144,-10.960595736213724]]]}"
A2020200_0,1,2020-07-18 00:35:01,26.988857454986917,0.45761281356875244,8.371856043383998E7,"{""type"":""Polygon"",""coordinates"":[[[-44.167473772149144,-10.960595736213724],[-31.383673823417443,-10.960595736213724],[-31.383673823417443,-3.6458047855439477],[-44.167473772149144,-3.6458047855439477],[-44.167473772149144,-10.960595736213724]]]}"
A2020199_0,1,2020-07-17 00:00:01,26.918534519406514,0.5058875541392147,8.108483444214141E7,"{""type"":""Polygon"",""coordinates"":[[[-44.167473772149144,-10.960595736213724],[-31.383673823417443,-10.960595736213724],[-31.383673823417443,-3.6458047855439477],[-44.167473772149144,-3.6458047855439477],[-44.167473772149144,-10.960595736213724]]]}"
