system:index,ID,Image_Datetime,mean,stdDev,sum,.geo
A2020213_0,1,2020-07-31 00:10:01,27.52419563146761,0.5353217263445115,3.493184632266116E8,"{""type"":""Polygon"",""coordinates"":[[[-46.09788913332127,-3.6458047855439477],[-32.53534408364851,-3.6458047855439477],[-32.53534408364851,2.536230241580276],[-46.09788913332127,2.536230241580276],[-46.09788913332127,-3.6458047855439477]]]}"
A2020212_0,1,2020-07-30 00:55:00,27.06214024085274,0.5185382702911829,2.5771253122013354E8,"{""type"":""Polygon"",""coordinates"":[[[-46.09788913332127,-3.6458047855439477],[-32.53534408364851,-3.6458047855439477],[-32.53534408364851,2.536230241580276],[-46.09788913332127,2.536230241580276],[-46.09788913332127,-3.6458047855439477]]]}"
A2020211_0,1,2020-07-29 00:20:00,27.369716748910484,0.640951169541318,1.816296346743626E8,"{""type"":""Polygon"",""coordinates"":[[[-46.09788913332127,-3.6458047855439477],[-32.53534408364851,-3.6458047855439477],[-32.53534408364851,2.536230241580276],[-46.09788913332127,2.536230241580276],[-46.09788913332127,-3.6458047855439477]]]}"
A2020210_0,1,2020-07-28 01:00:01,27.568274235241383,0.7675322450225962,3.1440510985596585E8,"{""type"":""Polygon"",""coordinates"":[[[-46.09788913332127,-3.6458047855439477],[-32.53534408364851,-3.6458047855439477],[-32.53534408364851,2.536230241580276],[-46.09788913332127,2.536230241580276],[-46.09788913332127,-3.6458047855439477]]]}"
A2020209_0,1,2020-07-27 00:30:00,27.71638828895255,0.6380946748876257,2.392096223767449E8,"{""type"":""Polygon"",""coordinates"":[[[-46.09788913332127,-3.6458047855439477],[-32.53534408364851,-3.6458047855439477],[-32.53534408364851,2.536230241580276],[-46.09788913332127,2.536230241580276],[-46.09788913332127,-3.6458047855439477]]]}"
A2020208_0,1,2020-07-26 00:00:00,27.631411316272374,0.8625479426353192,2.038346768510331E8,"{""type"":""Polygon"",""coordinates"":[[[-46.09788913332127,-3.6458047855439477],[-32.53534408364851,-3.6458047855439477],[-32.53534408364851,2.536230241580276],[-46.09788913332127,2.536230241580276],[-46.09788913332127,-3.6458047855439477]]]}"
A2020207_0,1,2020-07-25 00:40:01,27.791400229052165,0.8456837689445931,1.3358277776691565E8,"{""type"":""Polygon"",""coordinates"":[[[-46.09788913332127,-3.6458047855439477],[-32.53534408364851,-3.6458047855439477],[-32.53534408364851,2.536230241580276],[-46.09788913332127,2.536230241580276],[-46.09788913332127,-3.6458047855439477]]]}"
A2020206_0,1,2020-07-24 00:05:01,27.672147628645185,0.655464728052417,3.7484720564498353E8,"{""type"":""Polygon"",""coordinates"":[[[-46.09788913332127,-3.6458047855439477],[-32.53534408364851,-3.6458047855439477],[-32.53534408364851,2.536230241580276],[-46.09788913332127,2.536230241580276],[-46.09788913332127,-3.6458047855439477]]]}"
A2020205_0,1,2020-07-23 00:50:01,27.52631285671312,0.652622943137259,1.3505021898790073E8,"{""type"":""Polygon"",""coordinates"":[[[-46.09788913332127,-3.6458047855439477],[-32.53534408364851,-3.6458047855439477],[-32.53534408364851,2.536230241580276],[-46.09788913332127,2.536230241580276],[-46.09788913332127,-3.6458047855439477]]]}"
A2020204_0,1,2020-07-22 00:15:01,27.67768035680256,0.8056110669746241,2.2796146023186797E8,"{""type"":""Polygon"",""coordinates"":[[[-46.09788913332127,-3.6458047855439477],[-32.53534408364851,-3.6458047855439477],[-32.53534408364851,2.536230241580276],[-46.09788913332127,2.536230241580276],[-46.09788913332127,-3.6458047855439477]]]}"
